Diputats,Leg_C,Leg_I,Leg_II,Leg_III,Leg_IV,Leg_V,Leg_VI,Leg_VII,Leg_VIII,Leg_IX,Leg_X,Leg_XI,Leg_XII,Leg_XIII,Leg_XIV,Gènere
"Fraile Poujade, Modesto",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Gila González, Carlos Alfonso",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Díaz-Marta y Pinilla, Manuel Lucio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Guerra i Fontana, Rodolf",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sáenz-Díez Gándara, Juan Ignacio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Arias-Salgado Montalvo, Rafael",1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,Masculí
"Esperabé de Arteaga González, Jesús",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Estella Goytre, Alberto",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"López Rodó, Laureano",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Attard Alonso, Emilio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Payo Subiza, Gonzalo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Vega y Escandón, Luis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"García Pumarino Ramos, Emilio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Martín Hernández, Rafael",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Martín Oviedo, José María",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Valle Menéndez, Antonio del",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Masa Godoy, Antonio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Llorens Bargés, César",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Biel Rivera, José Angel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Lasuén Sancho, José Ramón",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Tejera Miró, Joaquín Ignacio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"León Herrero, Ricardo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Rodríguez Alcaide, José Javier",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Delgado de Jesús, Antonio José",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Casaño Salido, Carmelo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Bermejo Hernández, Manuel",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Bergasa Perdomo, Fernando",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Bravo de Laguna Bermúdez, José Miguel",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Solana Madariaga, Luis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"López-Casero García, Antonio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Morenas Aydillo, Dolores Blanca",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Femení
"Lainz Gallo, Francisco",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Peces-Barba Martínez, Gregorio",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Colino Salamanca, Juan Luis",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sánchez Terán Hernández, Salvador",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Fraga Iribarne, Manuel",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Suárez González, Adolfo",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Fernández Ordóñez, Francisco José",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Calvo-Sotelo Bustelo, Leopoldo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Benzo Mestre, Fernando",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Pérez-Llorca Rodrigo, José Pedro",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Herrero y Rodríguez de Miñón, Miguel",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Ruiz-Navarro Gimeno, José Luis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Fanjul Sedeño, Juan Manuel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Garrigues Walker, Joaquín",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Cavero Lataillade, Iñigo",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Camuñas Solís, Ignacio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sánchez de León Pérez, Enrique",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Gámir Casares, Luis",1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,Masculí
"Martínez-Villaseñor García, Gervasio",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Masculí
"Reol Tejada, Juan Manuel",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Simón Calvo, José Antonio de",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Paredes Grosso, José Manuel",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Soler Valero, Francisco",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Gómez Angulo, Juan Antonio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Andreu i Abelló, Josep",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Martínez Emperador, José",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"López Bravo y de Castro, Gregorio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Camacho Zancada, Blas",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Ortí Bordás, José Miguel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Fernández Arias, Manuel Angel",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Núñez Pérez, Manuel",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,Masculí
"Tomé Robla, Baudilio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Martín Villa, Emilio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Rovira Tarazona, Juan",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Fuente y de la Fuente, Licinio de la",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Vázquez Guillén, Antonio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"García Garrido, Manuel Jesús",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Martínez-Pujalte López, Jesús Roque",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Güell de Sentmenat, Carlos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Cabanillas Gallas, Pío",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Alava Aguirre, José Miguel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Pau i Pernau, Josep",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Masculí
"Pujol i Soley, Jordi",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Arana Pelegrí, Joaquín",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Trías Fargas, Ramón",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Roca i Junyent, Miquel",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Masculí
"Verde i Aldea, Josep",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sendra Navarro, Josep",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sala Canadell, Ramón",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Paredes Hernández, Joan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Alavedra i Moner, Maciá",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Perera Calle, Angel Manuel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Echevarría Gangoiti, Juan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Muñoz Arias, Pedro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Soriano Benítez de Lugo, Alfonso",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Masculí
"Cisneros Laborda, Gabriel",1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Masculí
"Prieto Valiente, Alfredo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Gutiérrez Díaz, Antoni",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"López Raimundo, Gregorio",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"García Sánchez, Cipriano",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Solé Tura, Jordi",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Masculí
"Ramos Camarero, Juan",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Riera Mercader, Josep María",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Calvet Puig, María Dolores",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Femení
"Solé Barberá, José",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Carrillo Solares, Santiago",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Camacho Abad, Marcelino",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sánchez Montero, Simón",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Tamames Gómez, Ramón",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"García García, Tomás",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Bono Martínez, Emérito",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Gallego Bezares, Ignacio",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Brabo Castells, Pilar",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Femení
"Benítez Rufo, Manuel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Soto Martín, Fernando",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Masculí
"Apostúa Palos, Luis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Huelín Vallejo, Ignacio Javier",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Torre Prados, Francisco de la",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"García Pérez, José",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Sancho Rof, Jesús",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Bolea Foradada, Juan Antonio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Alonso Pelayo, Modesto",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Otero Madrigal, José Antonio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Reventós i Carner, Joan",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Fernández de la Mora y Mon, Gonzalo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Galeote Jiménez, Guillermo",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Vallejo Rodríguez, Rafael",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Masculí
"Marín González, Manuel",1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Masculí
"Martínez Martínez, Miguel Ángel",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Masculí
"Sánchez Blanco, Jerónimo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Chaves González, Manuel",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,Masculí
"Vargas-Machuca Ortega, Ramón Arturo",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Jiménez Galán, Pedro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Pla Pechovierto, Palmira",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Femení
"Sotillo Martí, Vicente Antonio",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Castellano Cardalliaguet, Pablo",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,Masculí
"Granado Bombín, Esteban",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Ramos i Molins, Francesc",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Cigarrán Rodil, Carlos",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Busquets Bragulat, Juli",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Fuertes Fuertes, Luis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Triginer Fernández, Josep María",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Yáñez-Barnuevo García, Luis",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Masculí
"Soriano Pérez, Salvador",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Rodríguez Ibarra, Juan Carlos",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Pons Irazazábal, Félix",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Masculí
"Alonso Sarmiento, Emilio",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Masculí
"Barbón Martínez, Emilio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Palacio Álvarez, Manuel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Díaz Díaz, Honorio",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Gómez Llorente, Luis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Delgado Ruiz, Juan Francisco",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Peinado Moreno, Antonio",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculí
"Zapatero Gómez, Virgilio",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Masculí
