Diputades,Legislatures,Constituent,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV
"Villalobos Talero, Celia",10, , , ,X,X,X,X,X,X,X,X,X,X, , 
"Moneo Díez, María Sandra",8, , , , , , , ,X,X,X,X,X,X,X,X
"Pastor Julián, Ana María",8, , , , , , , ,X,X,X,X,X,X,X,X
"Martínez Saiz, Teófila",7, , , , ,X,X,X, , ,X,X,X,X, , 
"Batet Lamaña, Meritxell",7, , , , , , , , ,X,X,X,X,X,X,X
"Lara Carbó, María Teresa de",6, , , , , , , ,X,X,X,X,X,X, , 
"Pérez Domínguez, María Soledad",6, , , , , , , ,X,X,X,X,X,X, , 
"Báñez García, María Fátima",6, , , , , , , ,X,X,X,X,X,X, , 
"Becerril Bustamante, Soledad",6,X,X, , ,X,X, ,X, ,X, , , , , 
"Oramas González-Moro, Ana María",6, , , , , , , , , ,X,X,X,X,X,X
"García Bloise, Carmen",6,X,X,X,X,X,X, , , , , , , , , 
"Mato Adrover, Ana",6, , , , , ,X,X,X,X,X,X, , , , 
"Quintanilla Barba, María del Carmen",6, , , , , , , ,X,X,X,X,X,X, , 
"Vázquez Blanco, Ana Belén",6, , , , , , , ,X,X, ,X, ,X,X,X
"Cunillera i Mestres, Teresa",6, , ,X, , , ,X,X,X,X,X, , , , 
"Balletbó Puig, Anna",5, , ,X,X,X,X,X, , , , , , , , 
"Carcedo Roces, María Luisa",5, , , , , , , , ,X,X,X, , ,X,X
"Hernanz Costa, Sofía",5, , , , , , , , , , ,X,X,X,X,X
"Hoyo Juliá, Belén",5, , , , , , , , , , ,X,X,X,X,X
"Pozuelo Meño, María Isabel",5, , , , , , ,X,X,X,X,X, , , , 
"Borrego Cortés, Isabel María",5, , , , , , , , , , ,X,X,X,X,X
"Moro Almaraz, María Jesús",5, , , , , , , , , , ,X,X,X,X,X
"Tocino Biscarolasaga, Isabel",5, , , ,X,X,X,X,X, , , , , , , 
"Ramón Utrabo, Elvira",5, , , , , , , , , , ,X,X,X,X,X
"Madrazo Díaz, Ana María",5, , , , , , , , ,X,X,X,X,X, , 
"Sainz García, María Jesús",5, , , , ,X,X,X,X,X, , , , , , 
"López i Chamosa, Isabel",5, , , , , , ,X,X,X,X,X, , , , 
"Sumelzo Jordán, Susana",5, , , , , , , , , , ,X,X,X,X,X
"Fernández-Capel Baños, Blanca",5, , , , , ,X,X,X,X,X, , , , , 
"González Vázquez, Marta",5, , , , , , , , , , ,X,X,X,X,X
"España Reina, Carolina",5, , , , , , , , , , ,X,X,X,X,X
"Montesinos de Miguel, Macarena",5, , , , , , , , ,X,X,X, , ,X,X
"Méndez Monasterio, Lourdes",5, , , , , , , , ,X,X,X, , ,X,X
"Chacón Piqueras, Carme",5, , , , , , , ,X,X,X,X,X, , , 
"Romero Sánchez, Rosa María",5, , , , , , , , , , ,X,X,X,X,X
"Rodríguez Ramos, María Soraya",5, , , , , , , , ,X,X,X,X,X, , 
"Pelayo Duque, María Dolores",5, ,X,X,X,X,X, , , , , , , , , 
"Franco Carmona, Isabel",4, , , , , , , , , , , ,X,X,X,X
"Raya Rodríguez, María Tamara",4, , , , , , , , , , , ,X,X,X,X
"Fernández de la Vega Sanz, María Teresa",4, , , , , , ,X,X,X,X, , , , , 
"Ferrer Tesoro, Sonia",4, , , , , , , , , , , ,X,X,X,X
"Moraleja Gómez, Tristana María",4, , , , , , , , , , ,X, ,X,X,X
"Elizo Serrano, María Gloria",4, , , , , , , , , , , ,X,X,X,X
"Valcarce García, María Amparo",4, , , , , , ,X,X,X,X, , , , , 
"García-Pelayo Jurado, María José",4, , , , , , , , , , , ,X,X,X,X
"Fernández González, María Mercedes",4, , , , , ,X,X,X, , ,X, , , , 
"Botella Gómez, Ana María",4, , , , , , , , , , , ,X,X,X,X
"Marón Beltrán, Carmen",4, , , , , , ,X,X,X,X, , , , , 
"García Tejerina, Isabel",4, , , , , , , , , , , ,X,X,X,X
"González Guinda, María del Carmen",4, , , , , , , , , , , ,X,X,X,X
"Belarra Urteaga, Ione",4, , , , , , , , , , , ,X,X,X,X
"Fernández Castañón, Sofía",4, , , , , , , , , , , ,X,X,X,X
"Bonilla Domínguez, María Jesús",4, , , , , , , , , ,X,X,X,X, , 
"Díez de Baldeón García, Clementina",4, , , , , , ,X,X,X,X, , , , , 
"Martín Llaguno, Marta",4, , , , , , , , , , , ,X,X,X,X
"Montero Gil, Irene María",4, , , , , , , , , , , ,X,X,X,X
"Cancela Rodríguez, Pilar",4, , , , , , , , , , , ,X,X,X,X
"Blanco Terán, Rosa Delia",4, , , , , , , ,X,X,X,X, , , , 
"Guinart Moreno, Lídia",4, , , , , , , , , , , ,X,X,X,X
"Blanquer Alcaraz, Patricia",4, , , , , , , , , , , ,X,X,X,X
"Rodríguez-Salmones Cabeza, Beatriz",4, , , , , , , ,X,X,X,X, , , , 
"Pigem i Palmés, Mª Mercè",4, , , , , , , ,X,X,X,X, , , , 
"Navarro Lacoba, Carmen",4, , , , , , , , , , , ,X,X,X,X
"Navarro Garzón, Micaela",4, , , , , , , ,X,X, , ,X,X, , 
"Rumí Ibáñez, María Consuelo",4, , , , , , , ,X,X,X,X, , , , 
"Sánchez Díaz, María Carmen",4, , , , , , , ,X,X,X,X, , , , 
